# PHOTMJSR values in jwst_1126.pmap and associated zeropoints
# Uses post-Commissioning throughputs
# CALSPEC spectrum for Vega: alpha_lyr_stis_011.ascii
# CALSPEC spectrum for Sirius: sirius_stis_005.ascii
| pupil+filter |      sca | PHOTMJSR | zp_vega |  vega_Jy | zp_vega-sirius | vega-sirius_Jy | zp_AB | mean_pix_sr |
|  CLEAR+F140M |    NRCA4 |    4.800 |   25.19 |  1287.81 |          25.22 |        1314.44 | 28.02 |  2.2458e-14 |
|  CLEAR+F140M |    NRCB1 |    5.510 |   25.06 |  1289.87 |          25.08 |        1316.57 | 28.03 |  2.2219e-14 |
|  CLEAR+F140M |    NRCB2 |    5.272 |   25.07 |  1289.41 |          25.09 |        1316.10 | 28.00 |  2.2875e-14 |
|  CLEAR+F140M |    NRCB3 |    5.355 |   25.08 |  1289.37 |          25.10 |        1316.06 | 28.02 |  2.2402e-14 |
|  CLEAR+F140M |    NRCB4 |    4.611 |   25.21 |  1289.49 |          25.23 |        1316.18 | 27.99 |  2.3067e-14 |
| F162M+F150W2 |    NRCA1 |    4.847 |   24.93 |  1022.61 |          24.95 |        1036.90 | 28.02 |  2.2433e-14 |
| F162M+F150W2 |    NRCA2 |    5.061 |   24.89 |  1022.70 |          24.91 |        1036.99 | 28.03 |  2.2266e-14 |
| F162M+F150W2 |    NRCA3 |    4.688 |   24.96 |  1022.59 |          24.97 |        1036.87 | 28.01 |  2.2647e-14 |
| F162M+F150W2 |    NRCA4 |    4.439 |   25.03 |  1022.58 |          25.04 |        1036.87 | 28.02 |  2.2458e-14 |
| F162M+F150W2 |    NRCB1 |    5.099 |   24.89 |  1023.50 |          24.90 |        1037.84 | 28.03 |  2.2219e-14 |
| F162M+F150W2 |    NRCB2 |    4.837 |   24.92 |  1023.34 |          24.93 |        1037.67 | 28.00 |  2.2875e-14 |
| F162M+F150W2 |    NRCB3 |    4.925 |   24.92 |  1023.47 |          24.93 |        1037.82 | 28.02 |  2.2402e-14 |
| F162M+F150W2 |    NRCB4 |    4.295 |   25.04 |  1023.57 |          25.05 |        1037.92 | 27.99 |  2.3067e-14 |
|  CLEAR+F182M |    NRCA1 |    3.623 |   25.04 |   844.69 |          25.05 |         853.54 | 28.02 |  2.2433e-14 |
|  CLEAR+F182M |    NRCA2 |    3.847 |   24.99 |   845.37 |          25.00 |         854.24 | 28.03 |  2.2266e-14 |
|  CLEAR+F182M |    NRCA3 |    3.517 |   25.06 |   844.49 |          25.07 |         853.33 | 28.01 |  2.2647e-14 |
|  CLEAR+F182M |    NRCA4 |    3.381 |   25.12 |   844.34 |          25.13 |         853.18 | 28.02 |  2.2458e-14 |
|  CLEAR+F182M |    NRCB1 |    3.820 |   24.99 |   844.72 |          25.01 |         853.57 | 28.03 |  2.2219e-14 |
|  CLEAR+F182M |    NRCB2 |    3.675 |   25.01 |   844.74 |          25.02 |         853.59 | 28.00 |  2.2875e-14 |
|  CLEAR+F182M |    NRCB3 |    3.664 |   25.03 |   845.29 |          25.04 |         854.16 | 28.02 |  2.2402e-14 |
|  CLEAR+F182M |    NRCB4 |    3.309 |   25.11 |   845.51 |          25.12 |         854.38 | 27.99 |  2.3067e-14 |
|  CLEAR+F210M |    NRCA1 |    4.585 |   24.56 |   687.87 |          24.57 |         695.19 | 28.02 |  2.2433e-14 |
|  CLEAR+F210M |    NRCA2 |    4.919 |   24.50 |   688.87 |          24.51 |         696.22 | 28.03 |  2.2266e-14 |
|  CLEAR+F210M |    NRCA3 |    4.405 |   24.60 |   687.63 |          24.61 |         694.94 | 28.01 |  2.2647e-14 |
|  CLEAR+F210M |    NRCA4 |    4.302 |   24.63 |   687.45 |          24.64 |         694.76 | 28.02 |  2.2458e-14 |
|  CLEAR+F210M |    NRCB1 |    4.822 |   24.52 |   687.40 |          24.53 |         694.70 | 28.03 |  2.2219e-14 |
|  CLEAR+F210M |    NRCB2 |    4.599 |   24.54 |   687.62 |          24.55 |         694.92 | 28.00 |  2.2875e-14 |
|  CLEAR+F210M |    NRCB3 |    4.583 |   24.57 |   688.18 |          24.58 |         695.51 | 28.02 |  2.2402e-14 |
|  CLEAR+F210M |    NRCB4 |    4.221 |   24.62 |   688.35 |          24.64 |         695.68 | 27.99 |  2.3067e-14 |
| F164N+F150W2 |    NRCA1 |   48.251 |   22.40 |   985.73 |          22.41 |         996.82 | 28.02 |  2.2433e-14 |
| F164N+F150W2 |    NRCA2 |   51.082 |   22.34 |   985.73 |          22.36 |         996.82 | 28.03 |  2.2266e-14 |
| F164N+F150W2 |    NRCA3 |   46.367 |   22.43 |   985.74 |          22.44 |         996.82 | 28.01 |  2.2647e-14 |
| F164N+F150W2 |    NRCA4 |   44.535 |   22.48 |   985.74 |          22.50 |         996.83 | 28.02 |  2.2458e-14 |
| F164N+F150W2 |    NRCB1 |   51.354 |   22.34 |   985.61 |          22.35 |         996.69 | 28.03 |  2.2219e-14 |
| F164N+F150W2 |    NRCB2 |   47.634 |   22.39 |   985.62 |          22.40 |         996.70 | 28.00 |  2.2875e-14 |
| F164N+F150W2 |    NRCB3 |   49.457 |   22.37 |   985.61 |          22.39 |         996.69 | 28.02 |  2.2402e-14 |
| F164N+F150W2 |    NRCB4 |   42.417 |   22.51 |   985.61 |          22.52 |         996.69 | 27.99 |  2.3067e-14 |
|  CLEAR+F187N |    NRCA1 |   43.134 |   22.29 |   795.81 |          22.30 |         802.17 | 28.02 |  2.2433e-14 |
|  CLEAR+F187N |    NRCA2 |   45.898 |   22.23 |   795.83 |          22.24 |         802.20 | 28.03 |  2.2266e-14 |
|  CLEAR+F187N |    NRCA3 |   41.501 |   22.32 |   795.80 |          22.33 |         802.17 | 28.01 |  2.2647e-14 |
|  CLEAR+F187N |    NRCA4 |   40.000 |   22.37 |   795.80 |          22.38 |         802.16 | 28.02 |  2.2458e-14 |
|  CLEAR+F187N |    NRCB1 |   45.453 |   22.24 |   793.20 |          22.25 |         799.33 | 28.03 |  2.2219e-14 |
|  CLEAR+F187N |    NRCB2 |   43.657 |   22.25 |   793.20 |          22.26 |         799.33 | 28.00 |  2.2875e-14 |
|  CLEAR+F187N |    NRCB3 |   43.972 |   22.26 |   793.21 |          22.27 |         799.35 | 28.02 |  2.2402e-14 |
|  CLEAR+F187N |    NRCB4 |   39.776 |   22.34 |   793.22 |          22.35 |         799.35 | 27.99 |  2.3067e-14 |
|  CLEAR+F212N |    NRCA1 |   41.147 |   22.16 |   674.37 |          22.17 |         682.02 | 28.02 |  2.2433e-14 |
|  CLEAR+F212N |    NRCA2 |   44.852 |   22.07 |   674.40 |          22.09 |         682.05 | 28.03 |  2.2266e-14 |
|  CLEAR+F212N |    NRCA3 |   39.321 |   22.20 |   674.36 |          22.21 |         682.02 | 28.01 |  2.2647e-14 |
|  CLEAR+F212N |    NRCA4 |   38.873 |   22.22 |   674.36 |          22.23 |         682.01 | 28.02 |  2.2458e-14 |
|  CLEAR+F212N |    NRCB1 |   43.024 |   22.12 |   675.30 |          22.13 |         682.98 | 28.03 |  2.2219e-14 |
|  CLEAR+F212N |    NRCB2 |   40.830 |   22.15 |   675.31 |          22.16 |         682.99 | 28.00 |  2.2875e-14 |
|  CLEAR+F212N |    NRCB3 |   41.429 |   22.15 |   675.32 |          22.17 |         683.00 | 28.02 |  2.2402e-14 |
|  CLEAR+F212N |    NRCB4 |   37.491 |   22.23 |   675.33 |          22.24 |         683.01 | 27.99 |  2.3067e-14 |
| CLEAR+F150W2 |    NRCA1 |    0.647 |   27.23 |  1136.27 |          27.25 |        1157.59 | 28.02 |  2.2433e-14 |
| CLEAR+F150W2 |    NRCA2 |    0.677 |   27.21 |  1149.23 |          27.23 |        1170.92 | 28.03 |  2.2266e-14 |
| CLEAR+F150W2 |    NRCA3 |    0.630 |   27.25 |  1135.51 |          27.27 |        1156.82 | 28.01 |  2.2647e-14 |
| CLEAR+F150W2 |    NRCA4 |    0.582 |   27.35 |  1136.17 |          27.37 |        1157.52 | 28.02 |  2.2458e-14 |
| CLEAR+F150W2 |    NRCB1 |    0.677 |   27.21 |  1151.80 |          27.23 |        1173.69 | 28.03 |  2.2219e-14 |
| CLEAR+F150W2 |    NRCB2 |    0.638 |   27.23 |  1138.04 |          27.25 |        1159.41 | 28.00 |  2.2875e-14 |
| CLEAR+F150W2 |    NRCB3 |    0.666 |   27.21 |  1146.81 |          27.23 |        1168.45 | 28.02 |  2.2402e-14 |
| CLEAR+F150W2 |    NRCB4 |    0.585 |   27.33 |  1154.36 |          27.35 |        1176.25 | 27.99 |  2.3067e-14 |
|  CLEAR+F277W | NRCALONG |    0.491 |   24.94 |   429.93 |          24.95 |         432.98 | 26.49 |  9.2094e-14 |
|  CLEAR+F277W | NRCBLONG |    0.420 |   25.10 |   423.40 |          25.10 |         426.32 | 26.49 |  9.2374e-14 |
|  CLEAR+F356W | NRCALONG |    0.421 |   24.61 |   271.36 |          24.62 |         272.99 | 26.49 |  9.2094e-14 |
|  CLEAR+F356W | NRCBLONG |    0.379 |   24.73 |   272.35 |          24.73 |         273.99 | 26.49 |  9.2374e-14 |
|  CLEAR+F444W | NRCALONG |    0.402 |   24.25 |   185.76 |          24.25 |         186.28 | 26.49 |  9.2094e-14 |
|  CLEAR+F444W | NRCBLONG |    0.371 |   24.32 |   182.84 |          24.32 |         183.34 | 26.49 |  9.2374e-14 |
|  CLEAR+F250M | NRCALONG |    1.775 |   23.72 |   504.63 |          23.73 |         509.32 | 26.49 |  9.2094e-14 |
|  CLEAR+F250M | NRCBLONG |    1.688 |   23.78 |   504.70 |          23.79 |         509.39 | 26.49 |  9.2374e-14 |
|  CLEAR+F300M | NRCALONG |    1.065 |   23.94 |   367.96 |          23.94 |         370.06 | 26.49 |  9.2094e-14 |
|  CLEAR+F300M | NRCBLONG |    0.963 |   24.04 |   368.18 |          24.05 |         370.28 | 26.49 |  9.2374e-14 |
|  CLEAR+F335M | NRCALONG |    0.977 |   23.81 |   299.65 |          23.81 |         301.65 | 26.49 |  9.2094e-14 |
|  CLEAR+F335M | NRCBLONG |    0.848 |   23.95 |   298.24 |          23.96 |         300.24 | 26.49 |  9.2374e-14 |
|  CLEAR+F360M | NRCALONG |    0.953 |   23.68 |   260.19 |          23.69 |         261.79 | 26.49 |  9.2094e-14 |
|  CLEAR+F360M | NRCBLONG |    0.877 |   23.77 |   260.63 |          23.77 |         262.24 | 26.49 |  9.2374e-14 |
|  CLEAR+F410M | NRCALONG |    0.902 |   23.51 |   209.63 |          23.51 |         210.39 | 26.49 |  9.2094e-14 |
|  CLEAR+F410M | NRCBLONG |    0.867 |   23.54 |   207.72 |          23.54 |         208.45 | 26.49 |  9.2374e-14 |
|  CLEAR+F430M | NRCALONG |    1.908 |   22.59 |   190.67 |          22.59 |         191.20 | 26.49 |  9.2094e-14 |
|  CLEAR+F430M | NRCBLONG |    1.705 |   22.71 |   190.71 |          22.71 |         191.25 | 26.49 |  9.2374e-14 |
|  CLEAR+F460M | NRCALONG |    2.274 |   22.23 |   163.78 |          22.23 |         163.99 | 26.49 |  9.2094e-14 |
|  CLEAR+F460M | NRCBLONG |    2.103 |   22.32 |   164.44 |          22.32 |         164.65 | 26.49 |  9.2374e-14 |
|  CLEAR+F480M | NRCALONG |    2.023 |   22.30 |   154.46 |          22.30 |         154.71 | 26.49 |  9.2094e-14 |
|  CLEAR+F480M | NRCBLONG |    1.456 |   22.64 |   152.45 |          22.64 |         152.73 | 26.49 |  9.2374e-14 |
| F323N+F322W2 | NRCALONG |   13.574 |   21.02 |   321.03 |          21.03 |         322.95 | 26.49 |  9.2094e-14 |
| F323N+F322W2 | NRCBLONG |   12.127 |   21.14 |   320.86 |          21.15 |         322.77 | 26.49 |  9.2374e-14 |
|  F405N+F444W | NRCALONG |   11.527 |   20.72 |   206.95 |          20.73 |         207.00 | 26.49 |  9.2094e-14 |
|  F405N+F444W | NRCBLONG |    9.712 |   20.91 |   206.99 |          20.91 |         207.04 | 26.49 |  9.2374e-14 |
|  F466N+F444W | NRCALONG |   12.434 |   20.35 |   157.81 |          20.35 |         157.47 | 26.49 |  9.2094e-14 |
|  F466N+F444W | NRCBLONG |   12.466 |   20.34 |   157.68 |          20.34 |         157.32 | 26.49 |  9.2374e-14 |
|  F470N+F444W | NRCALONG |   14.080 |   20.23 |   159.54 |          20.23 |         159.70 | 26.49 |  9.2094e-14 |
|  F470N+F444W | NRCBLONG |   13.735 |   20.25 |   159.50 |          20.25 |         159.66 | 26.49 |  9.2374e-14 |
| CLEAR+F322W2 | NRCALONG |    0.210 |   25.60 |   336.23 |          25.61 |         338.41 | 26.49 |  9.2094e-14 |
| CLEAR+F322W2 | NRCBLONG |    0.202 |   25.66 |   343.47 |          25.67 |         345.73 | 26.49 |  9.2374e-14 |
