#REFERENCE 0 47.2332780 26.7604950
1 47.2229732 26.7491070 0.0000 0.0000 136.00 0.00
1 47.222973 26.749107 0.0000 0.0000 136.00 0.00
1 47.2229732 26.7491070 0.0000 0.0000 136.00 0.00
1 47.2229732 26.7491070 0.4191 0.3626 136.00 0.06
2 47.2332486 26.7606818 0.0000 0.0000 38.52 0.00
2 47.233249 26.760682 0.0000 0.0000 38.52 0.00
2 47.2332486 26.7606818 0.0000 0.0000 38.52 0.00
2 47.2332486 26.7606818 7.6553 6.9730 38.52 1940.23
3 47.2332780 26.7604950 0.0000 0.0000 67.50 0.00
3 47.233278 26.760495 0.0000 0.0000 67.50 0.00
3 47.2332780 26.7604950 0.0000 0.0000 67.50 0.00
3 47.2332780 26.7604950 2.8875 2.3732 67.50 83.03
4 47.2332780 26.7604950 0.0000 0.0000 59.04 0.00
4 47.233278 26.760495 0.0000 0.0000 59.04 0.00
4 47.2332780 26.7604950 0.0000 0.0000 59.04 0.00
4 47.2332780 26.7604950 0.0000 0.0000 59.04 0.00
5 47.2327520 26.7483817 0.0000 0.0000 21.10 0.00
5 47.232752 26.748382 0.0000 0.0000 21.10 0.00
5 47.2327520 26.7483817 0.0000 0.0000 21.10 0.00
5 47.2327520 26.7483817 0.8514 0.7732 21.10 6.17
6 47.2364870 26.7518727 0.0000 0.0000 53.69 0.00
6 47.236487 26.751873 0.0000 0.0000 53.69 0.00
6 47.2364870 26.7518727 0.0000 0.0000 53.69 0.00
6 47.2364870 26.7518727 0.8407 0.7799 53.69 6.14
7 47.2395940 26.7671047 0.0000 0.0000 -75.49 0.00
7 47.239594 26.767105 0.0000 0.0000 -75.49 0.00
7 47.2395940 26.7671047 0.0000 0.0000 -75.49 0.00
7 47.2395940 26.7671047 0.8255 0.7514 -75.49 5.48
8 47.2507340 26.7633727 0.0000 0.0000 79.34 0.00
8 47.250734 26.763373 0.0000 0.0000 79.34 0.00
8 47.2507340 26.7633727 0.0000 0.0000 79.34 0.00
8 47.2507340 26.7633727 0.8295 0.7471 79.34 5.46
9 47.2210330 26.7540187 0.0000 0.0000 51.76 0.00
9 47.221033 26.754019 0.0000 0.0000 51.76 0.00
9 47.2210330 26.7540187 0.0000 0.0000 51.76 0.00
9 47.2210330 26.7540187 0.9292 0.6590 51.76 4.80
10 47.2330290 26.7612647 0.0000 0.0000 -24.00 0.00
10 47.233029 26.761265 0.0000 0.0000 -24.00 0.00
10 47.2330290 26.7612647 0.0000 0.0000 -24.00 0.00
10 47.2330290 26.7612647 0.9422 0.6407 -24.00 4.53
11 47.2285260 26.7761577 0.0000 0.0000 29.02 0.00
11 47.228526 26.776158 0.0000 0.0000 29.02 0.00
11 47.2285260 26.7761577 0.0000 0.0000 29.02 0.00
11 47.2285260 26.7761577 0.8531 0.6711 29.02 4.45
12 47.2187970 26.7458307 0.0000 0.0000 -57.05 0.00
12 47.218797 26.745831 0.0000 0.0000 -57.05 0.00
12 47.2187970 26.7458307 0.0000 0.0000 -57.05 0.00
12 47.2187970 26.7458307 0.9779 0.6008 -57.05 3.95
13 47.2319430 26.7532627 0.0000 0.0000 54.82 0.00
13 47.231943 26.753263 0.0000 0.0000 54.82 0.00
13 47.2319430 26.7532627 0.0000 0.0000 54.82 0.00
13 47.2319430 26.7532627 1.0245 0.5893 54.82 3.91
14 47.2462320 26.7686757 0.0000 0.0000 -89.97 0.00
14 47.246232 26.768676 0.0000 0.0000 -89.97 0.00
14 47.2462320 26.7686757 0.0000 0.0000 -89.97 0.00
14 47.2462320 26.7686757 0.9687 0.5683 -89.97 3.32
15 47.2332130 26.7632447 0.0000 0.0000 -48.01 0.00
15 47.233213 26.763245 0.0000 0.0000 -48.01 0.00
15 47.2332130 26.7632447 0.0000 0.0000 -48.01 0.00
15 47.2332130 26.7632447 1.2900 0.5206 -48.01 3.12
16 47.2318400 26.7601627 0.0000 0.0000 54.50 0.00
16 47.231840 26.760163 0.0000 0.0000 54.50 0.00
16 47.2318400 26.7601627 0.0000 0.0000 54.50 0.00
16 47.2318400 26.7601627 0.7369 0.6344 54.50 3.07
17 47.2296670 26.7423437 0.0000 0.0000 -60.92 0.00
17 47.229667 26.742344 0.0000 0.0000 -60.92 0.00
17 47.2296670 26.7423437 0.0000 0.0000 -60.92 0.00
17 47.2296670 26.7423437 0.9103 0.5521 -60.92 2.85
18 47.2176360 26.7496737 0.0000 0.0000 -81.44 0.00
18 47.217636 26.749674 0.0000 0.0000 -81.44 0.00
18 47.2176360 26.7496737 0.0000 0.0000 -81.44 0.00
18 47.2176360 26.7496737 0.6991 0.6198 -81.44 2.66
