#Nsample
#ln(Lhood)
#O1 : x (arcsec)
#O1 : y (arcsec)
#O1 : emass
#O1 : theta (deg)
#O1 : rc (arcsec)
#O1 : sigma (km/s)
#O1 : rcut (arcsec)
#Chi2
1 9.278364 33.077580 -40.933971 0.164311 32.513622 0.001218 60.235076 5.120226 0.777255
1 8.663339 33.041824 -40.882226 0.294501 84.098805 0.001659 67.061397 1.549092 2.007304
1 8.630815 33.191430 -40.942362 0.001044 155.432572 0.001448 57.646043 3.084472 2.072353
1 9.497720 33.157218 -40.866470 0.411241 174.390609 0.001223 62.936123 1.507009 0.338542
1 9.336242 33.027437 -40.831306 0.658511 33.634435 0.001476 67.544563 3.401107 0.661499
1 7.450906 33.058932 -40.839214 0.201187 121.256384 0.000350 62.605979 3.154664 4.432171
1 9.050935 33.017530 -40.896283 0.332963 157.025005 0.000590 52.955442 3.825999 1.232113
1 9.489342 33.074009 -40.946537 0.918478 44.675360 0.000488 103.970862 1.262913 0.355298
1 8.951631 33.213323 -40.965422 0.697244 145.492003 0.001877 61.548381 5.669331 1.430720
1 8.906452 33.072063 -40.827355 0.156781 121.422695 0.001114 54.318718 4.856490 1.521078
2 9.237253 33.114598 -41.004809 0.036397 156.783117 0.001366 60.128092 5.120815 0.859478
2 8.926051 33.200975 -40.873987 0.677196 150.410967 0.000083 73.011232 1.412923 1.481881
2 8.639062 33.229800 -40.983345 0.084506 150.771003 0.001382 58.492314 2.794069 2.055860
2 8.991251 33.081580 -41.055105 0.627928 121.919950 0.000069 61.573517 4.595749 1.351480
2 9.129854 33.072558 -40.819979 0.544064 37.961181 0.001954 62.525108 2.314502 1.074275
2 9.218016 33.066569 -40.872891 0.005294 137.655810 0.000999 56.391641 2.323823 0.897950
2 9.266483 33.120786 -40.877995 0.140670 177.576488 0.000291 56.766065 2.759268 0.801017
2 7.549367 33.092868 -40.981491 0.931578 62.658727 0.000011 97.149023 1.683002 4.235250
2 9.627099 33.200357 -41.030231 0.133132 5.436130 0.001671 70.664491 1.314994 0.079785
2 9.034813 33.125438 -40.884792 0.887398 155.176925 0.000951 65.069577 4.876026 1.264357
3 8.723556 33.051791 -40.951066 0.008006 178.873709 0.001541 60.731269 4.792141 1.886870
