#REFERENCE 3 47.2332780 26.7604950
1	-18.593750	-50.738354	0.203556	-4.301385	
1	-18.515625	-50.737924	0.033912	-4.283818	
2	-18.515625	-50.737924	0.033912	-4.283818	
2	-18.447909	-50.703125	0.012900	-4.316453	
3	-18.515625	-50.688375	0.010137	-4.327863	
3	-18.447909	-50.703125	0.012900	-4.316453	
4	-18.593750	-50.647836	0.273223	-4.469497	
4	-18.515625	-50.688375	0.010137	-4.327863	
5	-18.659237	-50.703125	0.291810	-4.412483	
5	-18.593750	-50.738354	0.203556	-4.301385	
6	-18.659237	-50.703125	0.291810	-4.412483	
6	-18.593750	-50.647836	0.273223	-4.469497	
7	-38.440730	-32.890625	-4.146037	0.679070	
7	-38.437500	-32.900527	-4.150146	0.678379	
8	-38.515625	-32.820324	-3.889786	0.543094	
8	-38.440730	-32.890625	-4.146037	0.679070	
9	-38.524501	-32.812500	-3.877457	0.513189	
9	-38.515625	-32.820324	-3.889786	0.543094	
10	-38.437500	-32.900527	-4.150146	0.678379	
10	-38.420644	-32.890625	-4.185623	0.669942	
11	-38.420644	-32.890625	-4.185623	0.669942	
11	-38.362751	-32.812500	-4.279690	0.536270	
12	-38.362751	-32.812500	-4.279690	0.536270	
12	-38.414073	-32.734375	-4.200377	0.338785	
13	-38.437500	-32.700177	-4.108314	0.288983	
13	-38.414073	-32.734375	-4.200377	0.338785	
14	-38.524501	-32.812500	-3.877457	0.513189	
14	-38.558716	-32.734375	-3.886330	0.359195	
15	-38.515625	-32.673341	-3.956471	0.289062	
15	-38.437500	-32.700177	-4.108314	0.288983	
16	-38.558716	-32.734375	-3.886330	0.359195	
16	-38.515625	-32.673341	-3.956471	0.289062	
17	-17.849316	-38.593750	2.769171	3.654358	
17	-17.812500	-38.602935	2.769379	3.662213	
18	-17.934854	-38.515625	2.765065	3.620662	
18	-17.890625	-38.525640	2.764257	3.619262	
19	-17.890625	-38.525640	2.764257	3.619262	
19	-17.849316	-38.593750	2.769171	3.654358	
20	-17.890625	-38.503256	2.760781	3.611974	
20	-17.812500	-38.508787	2.744920	3.593402	
21	-17.934854	-38.515625	2.765065	3.620662	
21	-17.890625	-38.503256	2.760781	3.611974	
22	-17.729550	-38.671875	2.737911	3.794790	
22	-17.656250	-38.733265	2.561606	3.939756	
23	-17.734375	-38.646963	2.758026	3.741554	
23	-17.729550	-38.671875	2.737911	3.794790	
24	-17.812500	-38.602935	2.769379	3.662213	
24	-17.734375	-38.646963	2.758026	3.741554	
25	-17.656250	-38.733265	2.561606	3.939756	
25	-17.578125	-38.742205	2.391797	3.943402	
26	-17.578125	-38.742205	2.391797	3.943402	
26	-17.500000	-38.746822	2.301446	3.895746	
27	-17.500000	-38.636852	2.260090	3.759239	
27	-17.529496	-38.593750	2.295955	3.661177	
28	-17.656250	-38.525233	2.591141	3.519518	
28	-17.578125	-38.565127	2.391435	3.560232	
29	-17.578125	-38.565127	2.391435	3.560232	
29	-17.529496	-38.593750	2.295955	3.661177	
30	-17.734375	-38.526381	2.706866	3.561978	
30	-17.803449	-38.515625	2.744118	3.592656	
31	-17.734375	-38.526381	2.706866	3.561978	
31	-17.656250	-38.525233	2.591141	3.519518	
32	-17.812500	-38.508787	2.744920	3.593402	
32	-17.803449	-38.515625	2.744118	3.592656	
33	-14.897858	-34.843750	3.576595	6.169029	
33	-14.843750	-34.865433	3.571118	6.175432	
34	-14.790231	-34.921875	3.561395	6.206502	
34	-14.765625	-34.925454	3.558843	6.215570	
35	-14.765625	-34.925454	3.558843	6.215570	
35	-14.687500	-34.974411	3.476179	6.341365	
36	-14.687500	-34.850614	3.496409	6.135566	
36	-14.749620	-34.843750	3.546772	6.158887	
37	-14.843750	-34.865433	3.571118	6.175432	
37	-14.790231	-34.921875	3.561395	6.206502	
38	-14.843750	-34.814138	3.570712	6.168206	
38	-14.765625	-34.820944	3.548600	6.159160	
39	-14.765625	-34.820944	3.548600	6.159160	
39	-14.749620	-34.843750	3.546772	6.158887	
40	-14.897858	-34.843750	3.576595	6.169029	
40	-14.843750	-34.814138	3.570712	6.168206	
41	-10.078125	-31.279006	3.253799	9.049973	
41	-10.000000	-31.306411	3.209128	9.024050	
42	-10.131178	-31.250000	3.289954	9.069579	
42	-10.078125	-31.279006	3.253799	9.049973	
43	-11.015625	-30.950505	4.271034	8.576005	
43	-10.937500	-30.993641	4.257324	8.599170	
44	-11.041351	-30.937500	4.275180	8.569891	
44	-11.015625	-30.950505	4.271034	8.576005	
